LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,MAX_PAST_DELAY,TOTAL_PAY_AMT,BILL_AMT_TOTAL,UTILISATION,PAYMENT_TO_BILL_RATIO,PAY_AMT_STD,DEFAULT
20000,1,3,2,44,2,6151,61309,3.06545,0.10032621105855488,856.7380968923155,0
200000,1,1,1,53,2,32800,862167,4.310835,0.03804362954783754,476.09522856952333,1
280000,2,1,2,39,0,3968,15360,0.054857142857142854,0.2583165158518326,1619.9292165606087,0
100000,2,1,2,27,-2,7555,3555,0.03555,2.124578177727784,3084.315834454486,0
160000,2,2,1,37,-1,11018,4162,0.0260125,2.646649051165025,2952.645570783373,0
60000,2,2,2,23,0,6261,197839,3.2973166666666667,0.03164678528103518,493.0560820028489,0
90000,1,2,2,35,0,11756,354716,3.941288888888889,0.0331419131307493,1278.1218512593653,0
360000,1,1,1,43,0,120613,58460,0.1623888888888889,2.0631361078325723,25728.97828065986,0
150000,1,1,2,27,0,23841,479411,3.1960733333333335,0.04972966884433431,3229.499760024763,0
50000,2,3,1,22,0,3783,83794,1.67588,0.04514589175965153,528.3611454299039,0
20000,1,2,1,38,0,5685,93217,4.66085,0.060986075650625415,788.4845591386048,1
140000,1,1,2,32,-2,13007,13679,0.09770714285714285,0.9508040935672515,3975.866215891408,0
380000,2,1,2,30,0,42019,132602,0.34895263157894735,0.31687820034237535,12930.041785186417,0
480000,1,1,1,63,2,130971,2761015,5.752114583333333,0.047435798995732005,18438.827834219832,0
50000,2,3,2,22,0,6870,205366,4.10732,0.03345230733272629,354.4088035023961,1
60000,2,2,2,26,2,13517,342038,5.700633333333333,0.03951888527331678,1941.8346393724332,0
70000,2,2,2,24,-1,28529,32109,0.4587,0.8884771099345998,10697.076243846572,0
80000,2,2,1,36,-1,12794,17865,0.2233125,0.716108810030225,1130.3163568960094,0
350000,1,1,2,52,-1,15285,10987,0.03139142857142857,1.391062977793957,2079.8177564392513,0
130000,1,2,2,38,0,287768,680938,5.237984615384615,0.42260466796585305,66541.27199766073,0
360000,1,2,1,35,1,0,-618,-0.0017166666666666667,-0.0,0.0,0
330000,2,1,1,31,2,32747,639580,1.9381212121212121,0.05120070796349485,6102.294926227892,0
50000,1,3,1,47,2,7000,93139,1.86278,0.0751556796220743,408.2482904638631,0
280000,1,2,1,41,3,40604,855008,3.0536,0.04748955858944175,6575.229476350363,0
100000,2,1,2,24,0,17866,335186,3.35186,0.05330158985879524,1128.592161352659,0
50000,1,2,2,41,0,5471,119110,2.3822,0.04593194583203902,318.6034630487664,0
30000,1,1,2,24,3,6312,117660,3.922,0.05364564299130553,1102.8254621652513,1
240000,1,1,2,28,-1,7656,7456,0.031066666666666666,1.0266863349872604,2157.3131437044553,0
80000,1,2,2,26,2,7700,99022,1.237775,0.07775971239005079,449.0731195102494,1
400000,1,2,1,34,-1,57891,71828,0.17957,0.8059558117195005,3270.1015121858222,0
240000,2,2,2,38,0,11073,209703,0.8737625,0.05280299851218861,1003.7136543855523,0
50000,1,3,2,37,3,10235,290245,5.8049,0.03526319053492555,1457.5335902361453,1
450000,1,1,1,40,1,0,0,0.0,0.0,0.0,1
110000,2,1,1,48,1,0,0,0.0,0.0,0.0,0
310000,2,2,1,35,2,53973,1626538,5.246896774193549,0.03318272725092974,2644.5087067355253,1
20000,1,1,2,27,0,4308,112100,5.605,0.038429630422565364,520.4348182049314,0
20000,1,2,2,23,1,0,0,0.0,0.0,0.0,0
200000,1,3,2,52,0,22056,617685,3.088425,0.03570746301518895,115.51450125417155,0
180000,1,1,1,36,0,14771,668882,3.716011111111111,0.022083084784633486,1209.721193774279,1
50000,1,2,1,51,0,6200,30548,0.61096,0.20295263347409082,474.8990068074123,1
60000,1,3,1,55,3,7511,264125,4.402083333333334,0.0284371852827817,800.942548917628,0
30000,2,1,2,23,1,31886,32776,1.0925333333333334,0.9728163041156909,4657.14340198653,0
240000,1,1,2,41,1,8944,11279,0.046995833333333334,0.7929078014184398,1299.1926210792096,0
420000,1,2,1,34,0,53309,1349911,3.2140738095238097,0.039490722358198165,1585.090460089476,0
330000,1,3,1,46,0,49096,1369317,4.149445454545455,0.03585434500970556,124.13970624528909,0
30000,2,2,2,22,0,5460,123482,4.116066666666667,0.04421661281309978,857.3214099741124,0
240000,1,2,1,34,2,4627,77708,0.3237833333333333,0.059542652717188484,778.2982504584389,0
150000,1,1,2,27,0,20000,140829,0.93886,0.14201519562593198,875.5950357709132,0
210000,2,2,1,33,0,7046,43256,0.20598095238095238,0.16288693159488637,595.6111707033933,0
50000,2,3,1,51,-1,6180,6932,0.13864,0.8913890090869754,2379.033417167569,1
50000,1,1,2,24,0,8960,208330,4.1666,0.043008481694994986,660.7773200304825,0
240000,1,1,2,47,1,0,0,0.0,0.0,0.0,1
180000,1,2,2,28,-1,5580,3828,0.021266666666666666,1.4572995560198485,1287.3308820967513,0
50000,1,2,2,23,2,13500,99487,1.98974,0.135694757156642,3801.9731719200754,0
170000,1,2,2,29,-2,65846,67988,0.39992941176470587,0.9684801953257145,2394.957424812948,0
20000,1,1,2,29,0,23641,26510,1.3255,0.8917430500546942,5961.551422798152,0
50000,1,1,2,28,3,7183,48184,0.96368,0.1490712877451489,687.9884931208273,0
170000,2,2,2,27,0,3752,105012,0.6177176470588235,0.03572890975403045,653.7827365927205,1
200000,1,1,2,34,2,87000,794273,3.971365,0.10953398953006141,20149.441679609885,0
80000,2,2,1,23,3,4121,61950,0.774375,0.06652031444205905,938.9337392311912,0
260000,2,1,1,60,1,24469,21038,0.08091538461538461,1.1630305622890822,9037.702150805073,0
140000,1,2,1,32,2,16267,411323,2.9380214285714286,0.039547898979879606,1654.5078321563387,0
80000,1,1,2,25,0,63000,256528,3.2066,0.24558626899882666,10464.224768228174,0
350000,1,1,2,41,1,4536,4744,0.013554285714285715,0.9559536354056902,1132.4769313323782,0
280000,2,2,1,56,0,133200,971621,3.470075,0.13709034995090683,38125.759202932604,0
30000,2,3,2,26,0,8700,70072,2.335733333333333,0.12415623706705864,234.5207879911715,0
140000,1,1,1,34,0,35389,222980,1.5927142857142857,0.15870858952108027,3059.9680009220147,0
200000,2,1,2,37,0,22560,575407,2.877035,0.03920696271167589,666.7833231267861,0
200000,2,3,2,30,0,37788,1018160,5.0908,0.03711397313391497,1303.6287815171925,0
210000,1,3,1,45,6,65268,805451,3.8354809523809523,0.0810327617288181,489.89794855663564,1
50000,1,3,1,57,3,3800,79884,1.59768,0.0475683795455968,524.0865068542279,0
30000,1,1,2,41,2,8150,162596,5.419866666666667,0.05012392602569543,1343.285772524472,0
50000,1,2,2,27,2,2640,3396,0.06792,0.7771563143950545,329.8945285996723,0
290000,1,3,1,47,0,2376,3637,0.012541379310344828,0.6531061022539857,251.03386225766437,0
250000,2,1,1,34,2,39850,918942,3.675768,0.043365040051450414,6045.991024362066,0
60000,2,2,1,46,0,10000,150304,2.5050666666666666,0.06653138618143109,683.1300510639732,0
110000,2,1,2,27,0,21100,539339,4.9030818181818185,0.03912188971706159,1049.6030995889193,0
370000,1,1,2,50,-2,61944,63070,0.17045945945945945,0.9821312489099586,5060.0413437046145,0
100000,1,2,1,27,2,55906,310089,3.10089,0.1802895933438679,19964.135500107855,0
90000,2,2,1,35,2,24652,472951,5.255011111111111,0.052123682741588996,3241.920829796229,0
50000,2,2,2,22,0,6795,171359,3.42718,0.03965336134453781,350.7014399742322,0
270000,1,2,2,37,0,19000,180209,0.6674407407407408,0.10543255091282393,1169.0451944500123,0
300000,2,1,2,30,-1,11846,11780,0.039266666666666665,1.0055173584585348,1708.49005459987,0
50000,2,2,2,22,0,31149,53787,1.07574,0.5791068639845318,6153.245769510592,0
50000,2,1,2,24,1,0,-11569,-0.23138,-0.0,0.0,1
360000,1,1,2,29,1,77,77,0.0002138888888888889,0.9871794871794872,31.43511836571745,0
130000,1,3,1,56,3,14500,410575,3.1582692307692306,0.03531623865009158,2107.5261959621444,1
80000,1,1,2,30,0,6004,15624,0.1953,0.384256,1264.595851118715,0
50000,1,2,2,30,2,6500,220483,4.40966,0.029480597231545145,917.423929634859,0
20000,2,2,2,22,0,6913,83914,4.1957,0.08238098075433474,373.20686846126864,0
80000,2,2,1,29,2,8800,323559,4.0444875,0.027197428606749906,2156.540439376611,0
240000,1,1,2,37,2,84191,118261,0.49275416666666666,0.7119023862271905,26063.950893267636,0
80000,2,3,2,35,0,29000,129487,1.6185875,0.22395897689361177,4106.904755003051,0
500000,2,1,1,47,0,222550,579243,1.158486,0.3842076914046585,19956.26528854201,0
60000,2,2,1,24,0,10837,222443,3.7073833333333335,0.04871787955620291,869.4527972619713,1
20000,1,2,2,25,0,5353,50904,2.5452,0.10515666437481583,762.6641244130122,0
100000,2,2,1,38,2,5600,92351,0.92351,0.060637560637560636,752.7726527090811,1
360000,2,1,2,32,1,199288,163546,0.45429444444444445,1.2185365674699016,25606.565600772527,0
200000,2,3,2,47,2,35984,1182582,5.91291,0.03042830820331427,2984.178457577004,1
130000,2,2,1,34,1,17397,57742,0.44416923076923076,0.3012832724312904,2057.9220344804125,0
20000,2,2,2,31,5,1760,125792,6.2896,0.013991239576129038,460.7240678178933,0
310000,1,1,2,32,0,40419,353740,1.1410967741935485,0.11426156425181136,2621.1497286496246,0
60000,2,1,2,27,2,6752,130018,2.1669666666666667,0.05193087164183696,706.7284249743084,1
180000,2,1,2,29,0,22881,45854,0.25474444444444444,0.4989859339221459,6867.630064294378,0
180000,2,1,2,24,2,38067,68239,0.37910555555555553,0.5578399765533412,15443.01529818578,0
50000,1,2,1,36,0,26511,84870,1.6974,0.31236818230019675,7662.261643927333,0
50000,2,1,2,24,2,8132,228759,4.57518,0.035548172757475086,684.9019394531357,1
150000,2,2,1,34,-2,1616,1616,0.010773333333333333,0.9993815708101422,604.683939481335,0
20000,2,1,2,22,0,24766,103511,5.17555,0.23925728417961203,7782.82932272491,0
500000,2,1,1,34,-1,21861,6457,0.012914,3.3851037472901826,6002.399278621841,0
30000,2,3,2,22,2,2903,117854,3.9284666666666666,0.024631963005387978,714.3204929628344,1
180000,2,1,1,38,-2,0,750,0.004166666666666667,0.0,0.0,0
140000,1,1,2,31,2,38300,130872,0.9348,0.292650126458475,9556.237055801132,0
140000,2,1,2,26,0,49839,64236,0.4588285714285714,0.7758612637576474,4916.5201006402895,0
120000,1,2,2,26,0,29152,688894,5.740783333333333,0.04231704396170679,346.1945503133558,0
360000,2,2,1,48,0,37500,1202779,3.3410527777777776,0.031177771496034186,1725.977983637103,0
20000,1,3,1,43,0,31538,98941,4.94705,0.3187524003961917,8419.094480207872,0
100000,1,1,1,47,-1,5023,3033,0.03033,1.6555702043506921,903.9182300776254,0
210000,2,2,1,41,-1,6988,9657,0.04598571428571428,0.7235452474632429,1385.5838721155305,1
80000,2,2,2,24,0,13838,391407,4.8925875,0.0353544127866574,625.8439635138031,1
330000,2,1,1,50,-1,10868,19462,0.05897575757575758,0.5583928479679392,1626.2115073589496,0
220000,1,1,2,24,0,103985,419979,1.9089954545454546,0.2475951235773132,33615.874312096465,0
210000,2,1,1,38,1,11877,2384,0.011352380952380952,4.979874213836478,3771.875912593096,1
40000,2,3,1,43,0,8404,215945,5.398625,0.038917136691580305,253.3035070161222,0
30000,1,2,2,39,2,8493,103603,3.4534333333333334,0.08197559939770666,1228.7261289644655,0
470000,1,2,2,27,2,55690,2002818,4.261314893617021,0.02780580771402708,4647.088837828116,0
30000,1,3,1,42,2,2490,3510,0.117,0.7091996582170322,545.7746787823708,0
240000,2,2,1,36,1,0,-5676,-0.02365,-0.0,0.0,1
80000,1,2,2,36,2,19500,470809,5.8851125,0.04141798177608802,242.8991560298224,0
110000,2,3,3,31,0,26954,453847,4.125881818181818,0.05938992790537801,2327.563676178735,0
310000,2,1,2,38,-1,4668,6092,0.019651612903225806,0.7661250615460364,1844.6645223454589,0
360000,2,1,1,40,2,32100,685565,1.9043472222222222,0.04682262539274118,3857.84914168504,1
330000,2,3,2,45,0,73223,2005418,6.077024242424242,0.03651256919376948,286.05902654289144,0
300000,2,2,2,35,0,74582,1431315,4.77105,0.05210729147162471,3092.621067422692,0
320000,2,2,2,33,0,41866,437268,1.3664625,0.09574426725882694,6506.842572758824,0
50000,2,3,2,37,3,34317,243968,4.87936,0.14066131352753833,12200.716040462543,1
170000,2,1,2,28,0,48549,772102,4.5417764705882355,0.06287891641400176,7089.643707549767,0
350000,1,3,1,44,-1,5119,8384,0.023954285714285713,0.610494931425164,1152.8653723079146,0
20000,1,2,1,37,0,7564,108461,5.42305,0.06973871033172908,922.694243325852,0
50000,1,2,2,23,2,9074,202501,4.05002,0.044809433980898955,792.7044005596705,1
20000,2,3,2,24,2,5133,63912,3.1956,0.08031229953217656,1255.8349811977687,0
50000,2,1,2,24,0,6732,132930,2.6586,0.050642814693337146,781.9066440439037,0
20000,1,2,2,23,2,13200,94656,4.7328,0.13945085941874347,3857.460304397182,1
50000,1,2,1,26,0,51938,197548,3.95096,0.26291198639324925,18114.614173828453,0
190000,1,2,2,34,2,34887,828058,4.3582,0.042131055878868534,4509.164523501,1
60000,2,2,1,33,0,5935,175794,2.9299,0.03376091470178333,351.70977618864487,0
80000,1,1,2,35,-1,36293,41852,0.52315,0.8671540869232791,7094.8082825871115,0
150000,2,2,2,27,0,12625,399780,2.6652,0.03157978993498941,1280.4148416301127,0
210000,2,1,2,31,-1,19989,18130,0.08633333333333333,1.1024764215983673,2912.804610680229,0
240000,2,3,1,50,0,50997,1313227,5.471779166666667,0.038833317596030544,936.4716226346637,1
140000,2,2,3,41,0,13597,115854,0.8275285714285714,0.11736222001639982,744.759938951248,1
60000,2,1,2,28,2,2285,44436,0.7406,0.051421113036433604,932.8473437099271,0
50000,1,1,2,39,0,12800,241244,4.82488,0.05305809446827914,432.0493798938574,0
50000,2,2,2,27,0,7950,169234,3.38468,0.04697609832481461,365.7184709581948,0
180000,2,1,2,32,2,5818,14634,0.0813,0.39754014349162964,1435.6557618965164,0
30000,2,1,2,40,2,595,613,0.020433333333333335,0.9690553745928339,133.13213987113207,0
20000,2,2,2,40,0,5918,79889,3.99445,0.07407685567655527,1099.844110165921,0
250000,2,2,1,75,0,11727,63417,0.253668,0.1849159544608786,1799.922859458149,0
100000,2,2,2,27,0,8260,196498,1.96498,0.04203583733250551,832.527156714222,0
330000,1,1,2,25,2,15230,256005,0.7757727272727273,0.059490793184534735,1836.6679249844449,0
50000,1,3,1,46,0,7027,117871,2.35742,0.05961551513506176,553.6509429836336,0
50000,2,2,2,26,2,10062,240862,4.81724,0.041774784836193186,955.9389101820262,0
30000,1,2,2,28,0,8056,135160,4.505333333333334,0.059602991987333626,1866.9373494219528,0
140000,2,2,2,26,0,25041,631439,4.510278571428572,0.039656974534397565,844.3711861497881,1
160000,2,1,2,28,0,132311,337391,2.10869375,0.3921580831792099,38287.22817032681,0
400000,2,2,2,29,0,14825,34030,0.085075,0.43563221768387644,1454.5868714747382,0
50000,1,2,1,25,0,6842,173552,3.47104,0.03942311570528888,271.85339186161843,0
140000,2,2,1,48,0,27501,27095,0.19353571428571428,1.0149468556244463,8220.033278521445,0
160000,2,2,1,33,0,68661,82207,0.51379375,0.8352106850914753,20440.1509559005,0
100000,2,3,1,43,0,0,62170,0.6217,0.0,0.0,0
220000,1,1,1,48,2,42020,1129440,5.133818181818182,0.037204245285942336,1978.9054213546103,1
510000,2,1,2,29,0,160470,513211,1.0062960784313726,0.31267780176613175,22939.88671288505,0
50000,1,2,2,29,0,16512,202201,4.04402,0.08166091334408167,1945.6231906512628,0
160000,2,1,1,38,2,44142,63277,0.39548125,0.6975884193558582,7143.31581270211,0
230000,2,1,2,37,-2,51952,53735,0.2336304347826087,0.9668006550543398,20897.836344144976,0
80000,2,1,2,37,-1,28957,35054,0.438175,0.8260447867636571,6319.141473860722,0
150000,2,2,1,25,-1,1264,7104,0.04736,0.17790288529204784,163.1816983202058,0
10000,1,3,2,23,2,3932,52136,5.2136,0.07541669064196252,523.5470052122032,0
130000,2,3,2,49,0,9986,357781,2.7521615384615385,0.027910850741512987,1618.6792970402344,1
40000,2,1,2,48,0,9200,207975,5.199375,0.04423587337000423,51.63977794943222,0
50000,1,2,2,27,3,6631,73717,1.47434,0.08995089394720421,975.6241933586246,1
100000,1,3,2,32,0,9686,180209,1.80209,0.05374840463903224,633.5012759787203,0
120000,1,1,1,34,2,1800,4414,0.036783333333333335,0.40770101925254815,544.9770637375485,0
260000,2,1,2,58,1,0,0,0.0,0.0,0.0,1
200000,2,2,2,33,0,11522,80871,0.404355,0.1424720546048076,642.1220029454424,0
360000,2,2,2,28,-2,0,0,0.0,0.0,0.0,1
70000,2,2,2,36,0,28247,265753,3.7964714285714285,0.10629002761952783,3897.305757400446,0
460000,1,1,1,40,2,27927,28039,0.060954347826086955,0.9959700427960058,8863.14282294943,1
50000,2,1,2,26,-1,1896,2736,0.05472,0.6927292656192912,0.0,0
50000,1,3,1,33,0,7004,211791,4.23582,0.03307018206542268,727.32322021689,0
250000,2,2,1,31,0,26900,604011,2.416044,0.04453553902902591,449.0731195102493,0
30000,2,1,2,27,0,3164,6448,0.21493333333333334,0.49061870057373236,635.9895177333245,0
270000,1,2,1,44,0,144214,486594,1.8022,0.2963737810705001,17793.316291986346,0
180000,2,3,2,30,0,27192,760211,4.223394444444445,0.03576896970844975,1923.3791097960902,0
100000,2,1,2,28,0,20198,323182,3.23182,0.062497099166725974,1050.8428363302796,0
230000,2,3,1,32,0,29000,667517,2.9022478260869566,0.04344452134624085,408.248290463863,0
210000,2,1,1,46,-1,120470,211039,1.004947619047619,0.5708396512509477,13255.032231823003,0
210000,1,1,2,38,2,13804,358970,1.7093809523809524,0.03845435982293834,517.3883132296927,0
440000,2,2,1,46,0,29746,828179,1.882225,0.03591731266149871,2280.4353677898143,0
100000,2,2,2,25,2,13210,403638,4.03638,0.03272726371832256,654.7429011960853,1
240000,2,2,1,46,0,6295,56097,0.2337375,0.11221433919212806,120.43324568683958,0
280000,1,1,2,33,-1,347739,-336259,-1.200925,-1.0341434255839266,140766.00765348147,1
50000,2,2,2,22,1,0,0,0.0,0.0,0.0,1
30000,1,2,1,43,3,2000,12972,0.4324,0.15416634548678024,445.7203906785808,0
10000,1,2,2,27,2,5470,56848,5.6848,0.09621981037485268,1291.7880115044677,1
130000,1,1,2,29,1,1500,0,0.0,1500.0,612.3724356957945,0
200000,1,1,2,31,0,36425,978958,4.89479,0.03720789123957183,1756.4534057772973,0
120000,2,2,1,29,-1,8715,7765,0.06470833333333334,1.1221993304146278,971.4131458859305,0
210000,2,2,1,36,0,32709,858448,4.087847619047619,0.03810243823453694,786.2360332622768,0
280000,2,1,1,36,0,11718,273640,0.9772857142857143,0.04282253024948747,980.5243495191744,0
300000,1,1,2,34,1,32799,45400,0.15133333333333332,0.7224290213871941,8645.640537288142,1
100000,1,2,2,37,0,15303,462851,4.62851,0.033062404397085896,465.59155920183946,0
440000,2,1,2,36,-2,162000,0,0.0,162000.0,66136.2230551458,0
50000,2,3,1,40,0,7606,154301,3.08602,0.04929294500395329,560.8142889287564,0
20000,2,1,2,25,2,11500,98447,4.92235,0.11681293677880708,1392.0009578540767,1
200000,2,1,2,27,0,12927,18236,0.09118,0.7088336897516039,1439.2820085028507,0
110000,2,2,2,26,-2,12124,12860,0.11690909090909091,0.9426949692869917,2438.3212804441227,0
500000,2,2,1,36,-1,37052,47529,0.095058,0.7795497580475489,9366.825431631929,0
300000,2,2,1,27,1,5215,5215,0.017383333333333334,0.999808282208589,2129.0148347690456,0
30000,1,3,1,55,4,8900,72863,2.4287666666666667,0.1221453667105841,292.68868558020256,1
60000,2,1,2,27,-1,47111,65912,1.0985333333333334,0.7147451944229515,6945.7000919033835,0
400000,2,2,1,38,0,19153,21153,0.0528825,0.9054079606693769,3413.141920088684,0
